RA;pop;pop_pct
Plano Piloto;217073;7,50%
Gama;132404;4,60%
Taguatinga;210142;7,30%
Brazlândia;53534;1,90%
Sobradinho;69363;2,40%
Planaltina;177540;6,20%
Paranoá;65519;2,30%
Núcleo Bandeirante;24786;0,90%
Ceilândia;349955;12,10%
Guará;133748;4,60%
Cruzeiro;31079;1,10%
Samambaia;231942;8,00%
Santa Maria;126262;4,40%
São Sebastião;92750;3,20%
Recanto das Emas;131058;4,50%
Lago Sul;29662;1,00%
Riacho Fundo;42022;1,50%
Lago Norte;36474;1,30%
Candangolândia;16489;0,60%
Águas Claras;117346;4,10%
Riacho Fundo II;85047;3,00%
Sudoeste/Octogonal;54559;1,90%
Varjão;8891;0,30%
Park Way;19022;0,70%
SCIA;35520;1,20%
Sobradinho II;76125;2,60%
Jardim Botânico;51650;1,80%
Itapoã;62234;2,20%
SIA;1926;0,10%
Vicente Pires;66753;2,30%
Fercal;8687;0,30%
Pôr do Sol;83102;2,90%
Arniqueira;39236;1,40%
Total;2881900;100,00%
